0 166 1034
425 1470 627
0 68 4
3 1572 378
2197 1172 1207
276 59 0
194 0 239
1186 1198 1197
1773 2532 2770
0 876 1112
714 1794 2770
654 653 1706
1146 1174 2163
2965 2914 2050
658 1671 61
1085 1371 18
1038 0 1054
0 16 248
0 1375 1417
198 232 662
135 0 131
675 691 197
249 0 992
521 805 507
1704 17624 692
2678 2627 2227
250 1132 2066
232 648 1676
839 866 983
2289 0 1396
865 786 1911
133 0 137
64 0 54
139 0 133
539 112 1573
1402 2383 1387
1647 651 139
548 563 2311
2116 0 2170
0 1067 1020
0 1409 564
862 950 0
1132 1146 2121
2759 762 1695
4513 4681 2817
0 413 380
1069 2464 2460
1567 1789 2749
1734 1851 680
445 945 709
920 1925 912
17642 0 678
1241 271 285
33 517 1528
374 433 767
0 1287 1299
626 553 1260
627 687 646
716 559 6
660 1577 72
686 0 15
0 618 641
517 657 699
516 33 642
1314 1211 519
126 199 527
1264 3182 2203
382 446 3
508 0 492
947 0 984
0 1027 1080
0 60 628
2080 1142 2070
1108 1155 1107
2241 0 1624
0 447 398
1416 0 1431
504 894 0
3114 2149 2161
2370 366 1398
338 559 1220
923 252 271
969 0 959
842 292 904
1395 285 612
273 252 1328
681 665 0
2244 1975 1914
682 960 2741
704 681 0
678 0 95
696 1394 1680
17642 1828 763
1705 703 736
721 91 646
526 813 0
1534 1389 1596
1496 1445 1492
104 462 1017
0 1511 1507
567 420 2117
2377 4202 577
112 104 1212
103 0 99
0 733 481
0 1083 405
2862 3848 2881
2094 1084 890
1772 2694 2725
118 1199 0
2040 144 805
35 0 103
870 902 1750
792 752 219
779 0 503
462 121 1522
523 500 486
1110 1326 110
540 526 0
123 0 943
116 0 570
1409 2375 1529
917 120 1931
1099 728 1088
1006 0 1022
2039 3054 66
182 0 603
2406 1573 1212
1070 2067 146
581 1568 1373
21 0 139
586 0 135
1501 34 32
3122 3144 3156
651 132 21
0 169 1513
32 516 565
1586 2496 1568
37 131 34
0 1224 188
2710 699 1685
1486 2039 149
0 1520 1515
1741 739 111
518 0 982
1054 0 129
1786 3408 2730
172 506 181
0 142 527
1490 2445 1486
1506 2463 1502
179 1050 1995
0 1515 1563
801 0 818
1735 219 210
157 217 1728
211 0 156
921 913 1936
2828 2844 2890
208 554 1869
823 0 550
3795 2713 2779
0 948 855
907 1716 212
0 1112 224
1 964 1943
0 1034 168
541 167 2041
1560 1556 136
1054 2068 2052
0 188 1247
176 0 148
174 1323 1635
0 173 1337
0 204 1236
180 172 1166
0 1125 1165
184 180 1189
0 152 1111
178 0 176
1223 1609 148
1485 506 127
0 1165 1177
185 0 178
553 184 604
0 1391 1374
3064 3628 4183
171 140 2205
214 0 211
542 1424 1418
1008 0 947
1330 1318 1185
256 0 194
1293 193 7
2990 4045 2151
224 1033 808
722 22 0
244 0 20
2536 1481 66
751 220 752
226 205 1863
1727 210 209
1591 1728 1991
175 1214 2216
201 0 882
1222 0 247
770 0 801
0 160 891
202 0 212
155 0 202
189 157 1591
164 209 705
215 0 214
213 189 802
705 213 907
1306 0 587
156 0 725
1137 1154 2119
114 0 155
550 0 200
732 1770 770
3682 746 2688
725 0 770
549 165 196
246 983 1338
849 0 201
2026 1995 3063
256 245 0
5032 4054 3058
2041 2056 2276
3876 2122 3857
20 0 28
1086 1158 637
2430 2340 2431
1158 1186 2137
666 3346 1079
715 836 317
239 0 244
7 238 1281
255 0 1336
0 246 948
953 0 1007
1198 1234 1347
238 198 1145
228 1305 254
241 875 225
206 1118 1646
18 1157 991
1071 23 1930
992 0 27
1023 0 1040
0 82 86
254 1467 620
245 253 0
606 240 2212
193 1335 228
2292 1306 1605
1205 0 1654
2326 0 621
4155 5092 4186
1181 0 1169
1043 2953 2087
0 1113 1127
635 611 0
2015 996 275
2217 0 287
1027 0 1012
1278 0 1650
